region_type,country,percent_yoy_change,date
countries,Germany,-3,2020-07-09
countries,Germany,-1,2020-07-10
countries,Germany,1,2020-07-11
countries,Germany,0,2020-07-12
countries,Germany,-3,2020-07-13
countries,Germany,2,2020-07-14
countries,Ireland,2,2020-02-18
countries,Ireland,0,2020-02-19
countries,Ireland,4,2020-02-20
countries,Ireland,1,2020-02-21
countries,Ireland,-3,2020-02-22
countries,Ireland,4,2020-02-23
countries,Ireland,-9,2020-02-24
countries,Ireland,-8,2020-02-25
countries,Ireland,-10,2020-02-26
countries,Ireland,-2,2020-02-27
countries,Ireland,-10,2020-02-28
countries,Ireland,-13,2020-02-29
countries,Ireland,10,2020-03-01
countries,Ireland,-6,2020-03-02
countries,Ireland,-7,2020-03-03
countries,Ireland,-1,2020-03-04
countries,Ireland,-15,2020-03-05
countries,Ireland,-13,2020-03-06
countries,Ireland,-5,2020-03-07
countries,Ireland,4,2020-03-08
countries,Ireland,-10,2020-03-09
countries,Ireland,-28,2020-03-10
countries,Ireland,-27,2020-03-11
countries,Ireland,-46,2020-03-12
countries,Ireland,-51,2020-03-13
countries,Ireland,-52,2020-03-14
countries,Ireland,-75,2020-03-15
countries,Ireland,-70,2020-03-16
countries,Ireland,-86,2020-03-17
countries,Ireland,-97,2020-03-18
countries,Ireland,-98,2020-03-19
countries,Ireland,-99,2020-03-20
countries,Ireland,-98,2020-03-21
countries,Ireland,-98,2020-03-22
countries,Ireland,-100,2020-03-23
countries,Ireland,-99,2020-03-24
countries,Ireland,-100,2020-03-25
countries,Ireland,-100,2020-03-26
countries,Ireland,-100,2020-03-27
countries,Ireland,-100,2020-03-28
countries,Ireland,-100,2020-03-29
countries,Ireland,-100,2020-03-30
countries,Ireland,-100,2020-03-31
countries,Ireland,-100,2020-04-01
countries,Ireland,-100,2020-04-02
countries,Ireland,-100,2020-04-03
countries,Ireland,-100,2020-04-04
countries,Ireland,-100,2020-04-05
countries,Ireland,-100,2020-04-06
countries,Ireland,-100,2020-04-07
countries,Ireland,-100,2020-04-08
countries,Ireland,-100,2020-04-09
countries,Ireland,-100,2020-04-10
countries,Ireland,-100,2020-04-11
countries,Ireland,-100,2020-04-12
countries,Ireland,-100,2020-04-13
countries,Ireland,-100,2020-04-14
countries,Ireland,-100,2020-04-15
countries,Ireland,-99,2020-04-16
countries,Ireland,-100,2020-04-17
countries,Ireland,-100,2020-04-18
countries,Ireland,-100,2020-04-19
countries,Ireland,-100,2020-04-20
countries,Ireland,-100,2020-04-21
countries,Ireland,-100,2020-04-22
countries,Ireland,-100,2020-04-23
countries,Ireland,-100,2020-04-24
countries,Ireland,-100,2020-04-25
countries,Ireland,-100,2020-04-26
countries,Ireland,-100,2020-04-27
countries,Ireland,-100,2020-04-28
countries,Ireland,-100,2020-04-29
countries,Ireland,-100,2020-04-30
countries,Ireland,-100,2020-05-01
countries,Ireland,-100,2020-05-02
countries,Ireland,-100,2020-05-03
countries,Ireland,-100,2020-05-04
countries,Ireland,-100,2020-05-05
countries,Ireland,-100,2020-05-06
countries,Ireland,-100,2020-05-07
countries,Ireland,-100,2020-05-08
countries,Ireland,-100,2020-05-09
countries,Ireland,-100,2020-05-10
countries,Ireland,-99,2020-05-11
countries,Ireland,-99,2020-05-12
countries,Ireland,-98,2020-05-13
countries,Ireland,-98,2020-05-14
countries,Ireland,-98,2020-05-15
countries,Ireland,-90,2020-05-16
countries,Ireland,-96,2020-05-17
countries,Ireland,-99,2020-05-18
countries,Ireland,-99,2020-05-19
countries,Ireland,-99,2020-05-20
countries,Ireland,-97,2020-05-21
countries,Ireland,-98,2020-05-22
countries,Ireland,-94,2020-05-23
countries,Ireland,-97,2020-05-24
countries,Ireland,-100,2020-05-25
countries,Ireland,-98,2020-05-26
countries,Ireland,-98,2020-05-27
countries,Ireland,-96,2020-05-28
countries,Ireland,-98,2020-05-29
countries,Ireland,-96,2020-05-30
countries,Ireland,-97,2020-05-31
countries,Ireland,-99,2020-06-01
countries,Ireland,-99,2020-06-02
countries,Ireland,-99,2020-06-03
countries,Ireland,-99,2020-06-04
countries,Ireland,-98,2020-06-05
countries,Ireland,-97,2020-06-06
countries,Ireland,-97,2020-06-07
countries,Ireland,-99,2020-06-08
countries,Ireland,-99,2020-06-09
countries,Ireland,-99,2020-06-10
countries,Ireland,-99,2020-06-11
countries,Ireland,-99,2020-06-12
countries,Ireland,-98,2020-06-13
countries,Ireland,-99,2020-06-14
countries,Ireland,-99,2020-06-15
countries,Ireland,-99,2020-06-16
countries,Ireland,-99,2020-06-17
countries,Ireland,-98,2020-06-18
countries,Ireland,-99,2020-06-19
countries,Ireland,-98,2020-06-20
countries,Ireland,-99,2020-06-21
countries,Ireland,-99,2020-06-22
countries,Ireland,-99,2020-06-23
countries,Ireland,-99,2020-06-24
countries,Ireland,-99,2020-06-25
countries,Ireland,-99,2020-06-26
countries,Ireland,-99,2020-06-27
countries,Ireland,-99,2020-06-28
countries,Ireland,-12,2020-06-29
countries,Ireland,-17,2020-06-30
countries,Ireland,-10,2020-07-01
countries,Ireland,-20,2020-07-02
countries,Ireland,-5,2020-07-03
countries,Ireland,-45,2020-07-04
countries,Ireland,7,2020-07-05
countries,Ireland,1,2020-07-06
countries,Ireland,-10,2020-07-07
countries,Ireland,-1,2020-07-08
countries,Ireland,4,2020-07-09
countries,Ireland,13,2020-07-10
countries,Ireland,17,2020-07-11
countries,Ireland,32,2020-07-12
countries,Ireland,6,2020-07-13
countries,Ireland,-3,2020-07-14
countries,Mexico,-5,2020-02-18
countries,Mexico,-5,2020-02-19
countries,Mexico,-4,2020-02-20
countries,Mexico,-3,2020-02-21
countries,Mexico,-1,2020-02-22
countries,Mexico,2,2020-02-23
countries,Mexico,-1,2020-02-24
countries,Mexico,-3,2020-02-25
countries,Mexico,-9,2020-02-26
countries,Mexico,-7,2020-02-27
countries,Mexico,-10,2020-02-28
countries,Mexico,-5,2020-02-29
countries,Mexico,-7,2020-03-01
countries,Mexico,-7,2020-03-02
countries,Mexico,-10,2020-03-03
countries,Mexico,-6,2020-03-04
countries,Mexico,-6,2020-03-05
countries,Mexico,-8,2020-03-06
countries,Mexico,-2,2020-03-07
countries,Mexico,-5,2020-03-08
countries,Mexico,-19,2020-03-09
countries,Mexico,-16,2020-03-10
countries,Mexico,-15,2020-03-11
countries,Mexico,-16,2020-03-12
countries,Mexico,-16,2020-03-13
countries,Mexico,-21,2020-03-14
countries,Mexico,-35,2020-03-15
countries,Mexico,-48,2020-03-16
countries,Mexico,-62,2020-03-17
countries,Mexico,-73,2020-03-18
countries,Mexico,-78,2020-03-19
countries,Mexico,-85,2020-03-20
countries,Mexico,-90,2020-03-21
countries,Mexico,-95,2020-03-22
countries,Mexico,-94,2020-03-23
countries,Mexico,-95,2020-03-24
countries,Mexico,-96,2020-03-25
countries,Mexico,-97,2020-03-26
countries,Mexico,-97,2020-03-27
countries,Mexico,-97,2020-03-28
countries,Mexico,-98,2020-03-29
countries,Mexico,-97,2020-03-30
countries,Mexico,-98,2020-03-31
countries,Mexico,-99,2020-04-01
countries,Mexico,-99,2020-04-02
countries,Mexico,-99,2020-04-03
countries,Mexico,-99,2020-04-04
countries,Mexico,-99,2020-04-05
countries,Mexico,-99,2020-04-06
countries,Mexico,-99,2020-04-07
countries,Mexico,-99,2020-04-08
countries,Mexico,-100,2020-04-09
countries,Mexico,-99,2020-04-10
countries,Mexico,-99,2020-04-11
countries,Mexico,-99,2020-04-12
countries,Mexico,-99,2020-04-13
countries,Mexico,-99,2020-04-14
countries,Mexico,-99,2020-04-15
countries,Mexico,-99,2020-04-16
countries,Mexico,-99,2020-04-17
countries,Mexico,-99,2020-04-18
countries,Mexico,-99,2020-04-19
countries,Mexico,-99,2020-04-20
countries,Mexico,-99,2020-04-21
countries,Mexico,-99,2020-04-22
countries,Mexico,-99,2020-04-23
countries,Mexico,-99,2020-04-24
countries,Mexico,-99,2020-04-25
countries,Mexico,-99,2020-04-26
countries,Mexico,-99,2020-04-27
countries,Mexico,-99,2020-04-28
countries,Mexico,-99,2020-04-29
countries,Mexico,-99,2020-04-30
countries,Mexico,-99,2020-05-01
countries,Mexico,-99,2020-05-02
countries,Mexico,-99,2020-05-03
countries,Mexico,-99,2020-05-04
countries,Mexico,-99,2020-05-05
